基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
008251,0.0556648308418569,0.0556648308418569,0.0556648308418569,0.0556648308418569,0.0556648308418569,0.2843,0.0108,275.0,275.0,468.0,339.3333333333333
005970,0.0699199337382661,0.0699199337382661,0.0699199337382661,0.0699199337382661,0.0699199337382661,0.3412,0.011,77.0,77.0,869.5,341.1666666666667
008252,0.0557843007039447,0.0557843007039447,0.0557843007039447,0.0557843007039447,0.0557843007039447,0.2865,0.0107,272.0,272.0,481.0,341.6666666666667
519991,0.060091539937989,0.060091539937989,0.060091539937989,0.060091539937989,0.060091539937989,0.3135,0.0083,198.0,198.0,647.0,347.6666666666667
008311,0.069347442680776,0.069347442680776,0.069347442680776,0.069347442680776,0.069347442680776,0.3417,0.0146,90.0,90.0,878.0,352.6666666666667
010104,0.066998106060606,0.066998106060606,0.066998106060606,0.066998106060606,0.066998106060606,0.3384,0.0129,115.0,115.0,845.5,358.5
011673,0.0582759037601257,0.0582759037601257,0.0582759037601257,0.0582759037601257,0.0582759037601257,0.31,0.0175,228.0,228.0,624.5,360.1666666666667
008138,0.0872681938600591,0.0872681938600591,0.0872681938600591,0.0872681938600591,0.0872681938600591,0.3617,0.0123,17.0,17.0,1049.5,361.1666666666667
004892,0.0485940743536515,0.0485940743536515,0.0485940743536515,0.0485940743536515,0.0485940743536515,0.2471,0.01,403.0,403.0,281.0,362.3333333333333
004891,0.0484945127098769,0.0484945127098769,0.0484945127098769,0.0484945127098769,0.0484945127098769,0.2448,0.01,408.0,408.0,272.5,362.8333333333333
011674,0.0584802431610942,0.0584802431610942,0.0584802431610942,0.0584802431610942,0.0584802431610942,0.3129,0.0177,225.0,225.0,640.5,363.5
004359,0.0508465074559928,0.0508465074559928,0.0508465074559928,0.0508465074559928,0.0508465074559928,0.2701,0.0107,357.0,357.0,388.0,367.3333333333333
004360,0.0510653284028878,0.0510653284028878,0.0510653284028878,0.0510653284028878,0.0510653284028878,0.2763,0.0108,353.0,353.0,412.0,372.6666666666667
010246,0.0504286434694907,0.0504286434694907,0.0504286434694907,0.0504286434694907,0.0504286434694907,0.2695,0.0097,368.0,368.0,386.0,374.0
001088,0.052863436123348,0.052863436123348,0.052863436123348,0.052863436123348,0.052863436123348,0.2868,0.014,325.0,325.0,483.0,377.6666666666667
000066,0.0511044094873257,0.0511044094873257,0.0511044094873257,0.0511044094873257,0.0511044094873257,0.2797,0.0118,352.0,352.0,429.0,377.6666666666667
002174,0.0468093236530379,0.0468093236530379,0.0468093236530379,0.0468093236530379,0.0468093236530379,0.2323,0.0097,446.0,446.0,245.0,379.0
010349,0.0463892874222859,0.0463892874222859,0.0463892874222859,0.0463892874222859,0.0463892874222859,0.2289,0.0113,454.0,454.0,230.5,379.5
009650,0.043971750462418,0.043971750462418,0.043971750462418,0.043971750462418,0.043971750462418,0.1972,0.0091,499.0,499.0,151.0,383.0
001900,0.066501478698745,0.066501478698745,0.066501478698745,0.066501478698745,0.066501478698745,0.3489,0.0085,117.0,117.0,937.0,390.3333333333333
008234,0.0733189023112911,0.0733189023112911,0.0733189023112911,0.0733189023112911,0.0733189023112911,0.362,0.0152,61.0,61.0,1053.5,391.8333333333333
009501,0.0430660269591044,0.0430660269591044,0.0430660269591044,0.0430660269591044,0.0430660269591044,0.1962,0.0097,516.0,516.0,148.0,393.3333333333333
009500,0.042949664810817,0.042949664810817,0.042949664810817,0.042949664810817,0.042949664810817,0.1938,0.0096,519.0,519.0,143.0,393.6666666666667
009649,0.0438691417630899,0.0438691417630899,0.0438691417630899,0.0438691417630899,0.0438691417630899,0.205,0.0093,503.0,503.0,175.0,393.6666666666667
000916,0.0410557184750733,0.0410557184750733,0.0410557184750733,0.0410557184750733,0.0410557184750733,0.1584,0.0091,552.0,552.0,88.0,397.3333333333333
004871,0.0888443017656501,0.0888443017656501,0.0888443017656501,0.0888443017656501,0.0888443017656501,0.378,0.0088,12.0,12.0,1204.0,409.3333333333333
005126,0.0408450704225352,0.0408450704225352,0.0408450704225352,0.0408450704225352,0.0408450704225352,0.1813,0.0088,557.0,557.0,117.0,410.3333333333333
008131,0.0632911392405063,0.0632911392405063,0.0632911392405063,0.0632911392405063,0.0632911392405063,0.3493,0.0115,153.0,153.0,942.5,416.1666666666667
